,native_cover,native_cover,invasive_cover,invasive_cover,canopy_cover,canopy_cover,Ce,Ce,Cr,Cr,Ct,Ct,Cep,Cep,MPS,MPS,satisfaction,satisfaction
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
year,,,,,,,,,,,,,,,,,,
0,0.6221708961189454,0.02796890948280753,0.36399531216473446,0.03631663974273996,0.5348145373054835,0.043692859826125544,0.5570444672997298,0.025613941855248755,0.5615274556645363,0.019206760016616743,0.5654212644451705,0.02152132780575045,0.5238423981992782,0.028752719858662387,0.5516900320306642,0.021586288447942498,0.5762663245318794,0.07076979734755152
1,0.6287124068641948,0.02696822791408011,0.4178211866205896,0.03243329165873253,0.5250881205250794,0.04708043243852503,0.5406521285091515,0.024324861343405328,0.5387978328928253,0.019819641144085826,0.5654470192464115,0.02191420510531355,0.5199582341777153,0.030344534881703723,0.5388074091549576,0.021101719320656374,0.5618424304116485,0.06158433609858772
2,0.6371414627226516,0.028191648818669004,0.43765666151969285,0.017846634144256256,0.5020397778787307,0.057845159106114714,0.5385589956570486,0.02150156046469719,0.5226360796195998,0.023943581810477392,0.5623255915888125,0.024487646767631748,0.508992180034086,0.0360286299449455,0.5334300005218876,0.02139305263015948,0.5467284231805614,0.0826488281893115
3,0.6488937381802146,0.02879651078857734,0.44708727133790144,0.018156119583411328,0.4833298026695122,0.06330195832101672,0.5426364432733234,0.019208339561902953,0.5118513760995393,0.028816058232463273,0.5620011229819502,0.02569201037350877,0.5014467887011774,0.03877011169351862,0.5332564736123785,0.021946900930050226,0.5179904857105153,0.0755332184068276
4,0.6623795523796986,0.02970227669013753,0.4480528165611405,0.017165461596022207,0.4754800396330933,0.05832836001812292,0.5513024193581342,0.022720127110771086,0.5083735300568382,0.02574447412503008,0.5657148104607923,0.02455217081491936,0.5005886642591895,0.03583644671657251,0.5383080185184814,0.022457933763096734,0.5322796397463725,0.0653245084850178
5,0.6747821616464412,0.029631151357313812,0.446720984771405,0.016490958920522644,0.4633978609027573,0.06379526856724069,0.5600502565269299,0.020835303910145687,0.5040067996911112,0.026210855310966747,0.5676713310117257,0.026543758645195592,0.49705889763548067,0.0393041196507591,0.5426097465135378,0.022026141316293196,0.5358777749010221,0.06979731315659288
6,0.6856980385522059,0.03043351457065875,0.4488648934767508,0.014983489329555259,0.4549387362517713,0.061695930159902455,0.5663966455583325,0.018696783121924555,0.4998727817838457,0.025199238361227692,0.5700457382240242,0.026639387288372333,0.49522818129131824,0.03837384056157299,0.5458754755940501,0.021094198012614866,0.5486981622556945,0.0737455580344877
7,0.6980842937964569,0.030080316853524483,0.4459833592016345,0.01258147971271174,0.44095638586388586,0.061680090527233375,0.5758706697358568,0.02069747029501769,0.49528837862498226,0.02610172011186744,0.5714248479675714,0.026410433743659593,0.4907577790317909,0.038151045296527845,0.5503452803071276,0.02234744300490651,0.5538139501346488,0.06092406552931923
